feature,importance
horror,0.013782808011502678
spirit,0.010826299458865743
weekend,0.010253783971354739
group,0.010044962568172723
left,0.00939054188815155
evil,0.008940194628626436
deadly,0.008865817553397017
battle,0.00868781365577667
mysterious,0.007779323447134373
possession,0.007747148603238846
people,0.007346462219509545
disappeared,0.007082540263298087
vicious,0.006580225621855058
virus,0.006512068521381529
house,0.006337318663615381
remote,0.006193465816442093
lake,0.006123431977234332
lies,0.006121294144843753
horrifying,0.006018804966729191
terrifying,0.005728045856640244
